lead_source,industry,employment_status,location,number_of_courses_viewed,annual_income,interaction_count,lead_score,converted
referral,manufacturing,self_employed,NA,2,74380.0,5,0.51,1
organic_search,finance,unemployed,asia,0,22524.0,5,0.07,0
social_media,NA,student,north_america,2,65072.0,4,0.63,1
referral,other,self_employed,australia,4,79513.0,2,0.05,1
paid_ads,education,employed,australia,1,88596.0,4,0.71,1
paid_ads,technology,self_employed,NA,2,59222.0,2,0.01,1
referral,healthcare,employed,north_america,2,46268.0,3,0.63,1
events,other,NA,asia,0,0.0,0,0.03,0
paid_ads,education,unemployed,australia,2,31817.0,1,0.82,0
paid_ads,NA,employed,north_america,0,0.0,4,0.43,0
paid_ads,other,unemployed,NA,1,56959.0,1,0.33,0
referral,manufacturing,employed,africa,3,75220.0,1,0.41,1
social_media,NA,employed,africa,2,26927.0,2,0.14,0
organic_search,other,student,asia,6,57523.0,4,0.32,1
social_media,healthcare,self_employed,asia,0,63187.0,3,0.71,0
social_media,technology,student,australia,3,68336.0,1,0.2,0
paid_ads,other,student,australia,3,0.0,4,0.16,1
social_media,manufacturing,student,australia,1,68235.0,3,0.28,0
NA,healthcare,unemployed,europe,2,50302.0,4,0.61,1
social_media,technology,student,north_america,2,38395.0,7,0.82,1
referral,finance,employed,asia,4,59084.0,2,0.28,1
NA,other,self_employed,north_america,1,45754.0,5,0.42,1
social_media,healthcare,NA,asia,5,85005.0,0,0.49,1
events,education,self_employed,NA,1,52343.0,4,0.67,1
paid_ads,NA,employed,europe,3,75264.0,2,0.96,1
referral,healthcare,NA,middle_east,0,75911.0,4,0.17,1
paid_ads,manufacturing,unemployed,NA,6,45437.0,1,0.04,1
paid_ads,finance,self_employed,north_america,3,0.0,0,0.58,0
events,technology,employed,asia,2,86678.0,4,0.32,1
referral,finance,employed,middle_east,0,0.0,2,0.93,1
referral,NA,employed,europe,3,0.0,3,0.31,1
paid_ads,technology,self_employed,south_america,2,0.0,2,0.28,0
events,NA,NA,middle_east,0,47008.0,5,0.36,0
organic_search,finance,unemployed,north_america,2,68945.0,5,0.54,1
referral,technology,self_employed,africa,4,51849.0,3,0.13,1
paid_ads,technology,student,south_america,1,0.0,2,0.83,0
NA,education,self_employed,asia,2,73337.0,3,0.82,1
paid_ads,education,self_employed,south_america,2,22355.0,4,0.29,1
events,technology,self_employed,australia,1,0.0,1,0.06,0
social_media,finance,self_employed,europe,3,40344.0,2,0.85,1
events,finance,self_employed,europe,2,82525.0,4,0.46,1
social_media,finance,employed,europe,5,74928.0,3,0.78,1
organic_search,education,self_employed,north_america,3,69033.0,1,0.43,1
organic_search,healthcare,employed,north_america,3,62595.0,1,0.05,0
referral,NA,employed,australia,5,43704.0,4,0.26,1
NA,healthcare,student,middle_east,2,56634.0,3,0.57,1
referral,finance,student,africa,0,44814.0,5,0.84,1
paid_ads,retail,student,europe,2,70139.0,1,0.75,0
social_media,other,student,europe,2,59720.0,4,0.55,1
NA,finance,employed,north_america,1,50049.0,1,0.73,1
NA,NA,employed,NA,1,44383.0,6,0.08,1
organic_search,retail,self_employed,south_america,6,47717.0,4,0.5,1
organic_search,healthcare,NA,south_america,2,65227.0,4,0.41,1
referral,healthcare,unemployed,south_america,4,38648.0,2,0.86,1
events,other,student,south_america,3,59157.0,2,0.79,0
social_media,healthcare,unemployed,north_america,6,43849.0,2,0.8,1
events,healthcare,unemployed,australia,5,78796.0,3,0.69,1
events,education,unemployed,europe,1,52309.0,4,0.3,0
events,retail,employed,europe,3,52634.0,3,0.19,1
paid_ads,other,unemployed,africa,3,73063.0,3,0.71,0
referral,finance,unemployed,middle_east,1,75716.0,2,0.87,0
social_media,other,student,europe,2,69799.0,2,0.16,0
events,education,unemployed,europe,3,48804.0,3,0.98,1
organic_search,finance,employed,africa,2,44084.0,2,0.42,0
paid_ads,education,unemployed,africa,3,0.0,3,0.31,1
NA,education,employed,asia,3,89042.0,4,0.75,1
events,retail,self_employed,africa,4,63085.0,2,0.28,1
organic_search,other,NA,middle_east,3,0.0,5,0.45,1
referral,other,unemployed,australia,0,0.0,2,0.65,0
organic_search,other,unemployed,australia,1,41839.0,2,0.17,0
referral,manufacturing,student,africa,3,46615.0,0,0.66,1
paid_ads,education,NA,australia,2,47092.0,3,0.09,0
events,retail,student,middle_east,1,78310.0,3,0.43,0
referral,finance,student,africa,0,0.0,7,0.31,1
organic_search,other,unemployed,middle_east,2,0.0,1,0.93,0
events,other,student,middle_east,5,60082.0,2,0.31,1
referral,other,student,europe,2,58981.0,3,0.2,1
organic_search,finance,self_employed,north_america,2,63856.0,2,0.48,0
social_media,finance,employed,africa,4,41674.0,2,0.67,1
social_media,education,self_employed,australia,0,48379.0,1,0.89,0
organic_search,education,NA,asia,2,0.0,2,0.33,1
social_media,finance,student,asia,3,71412.0,1,0.57,1
paid_ads,education,self_employed,middle_east,4,62099.0,3,0.45,1
referral,finance,employed,europe,1,47262.0,2,0.96,1
organic_search,NA,self_employed,australia,2,0.0,3,0.22,1
social_media,other,student,europe,0,70229.0,3,0.28,0
social_media,NA,student,europe,1,37827.0,3,0.57,0
organic_search,finance,self_employed,north_america,3,51789.0,1,0.18,0
social_media,retail,self_employed,south_america,1,67031.0,2,0.23,0
social_media,finance,employed,europe,3,62702.0,4,0.66,1
events,retail,employed,south_america,5,0.0,3,0.08,1
events,healthcare,self_employed,africa,4,82156.0,3,0.96,1
social_media,finance,self_employed,africa,0,65044.0,5,0.53,1
social_media,technology,unemployed,africa,6,0.0,4,0.06,1
referral,finance,unemployed,australia,2,74166.0,0,0.18,0
events,technology,self_employed,asia,2,0.0,1,0.27,1
events,other,self_employed,asia,3,0.0,1,0.65,0
organic_search,technology,student,africa,1,70679.0,3,0.37,0
social_media,education,employed,north_america,3,0.0,3,0.13,1
referral,other,student,asia,1,55736.0,2,0.96,1
paid_ads,retail,self_employed,north_america,1,68616.0,7,0.32,1
paid_ads,manufacturing,unemployed,south_america,2,73087.0,4,0.65,0
events,retail,employed,south_america,2,0.0,2,0.11,1
NA,other,unemployed,africa,1,44333.0,3,0.35,0
events,manufacturing,student,north_america,2,64134.0,3,0.93,1
social_media,education,student,NA,2,0.0,4,0.78,1
social_media,education,unemployed,north_america,2,66171.0,2,0.66,0
social_media,finance,employed,australia,5,55156.0,1,0.47,1
social_media,manufacturing,self_employed,europe,2,66836.0,4,0.18,1
organic_search,finance,student,middle_east,2,54427.0,5,0.43,1
referral,manufacturing,employed,africa,2,65303.0,3,0.13,1
social_media,retail,student,asia,2,64070.0,2,0.92,1
organic_search,finance,student,australia,2,56258.0,5,0.23,1
events,other,employed,asia,3,52531.0,0,0.15,1
paid_ads,finance,self_employed,south_america,3,0.0,3,0.47,0
organic_search,retail,employed,europe,3,72482.0,4,0.85,1
paid_ads,retail,student,middle_east,0,58472.0,5,0.03,0
organic_search,NA,self_employed,south_america,3,56836.0,5,0.08,1
referral,NA,employed,south_america,3,30615.0,2,0.55,1
referral,healthcare,self_employed,europe,2,50411.0,3,0.46,1
referral,finance,NA,south_america,2,0.0,3,0.47,1
referral,manufacturing,student,asia,2,61863.0,2,0.02,1
NA,healthcare,unemployed,africa,1,77092.0,3,0.41,1
referral,retail,self_employed,europe,0,54612.0,4,0.86,1
social_media,other,unemployed,north_america,3,63133.0,3,0.82,1
events,NA,self_employed,europe,1,72085.0,3,0.95,1
events,manufacturing,employed,middle_east,5,67671.0,1,0.03,1
paid_ads,finance,self_employed,africa,2,40058.0,3,0.19,0
social_media,other,NA,middle_east,3,55438.0,1,0.69,0
paid_ads,education,unemployed,NA,1,71490.0,3,0.33,0
events,healthcare,employed,africa,3,54547.0,3,0.9,1
referral,healthcare,student,north_america,1,56507.0,2,0.63,0
organic_search,education,self_employed,africa,2,66789.0,2,0.85,1
referral,healthcare,employed,north_america,3,35772.0,2,0.67,1
paid_ads,technology,student,africa,1,82346.0,2,0.6,0
events,retail,self_employed,north_america,1,56982.0,2,0.84,1
events,other,self_employed,africa,1,66476.0,0,0.46,0
organic_search,technology,student,north_america,2,73466.0,3,0.0,1
organic_search,NA,self_employed,africa,1,16132.0,2,0.47,0
referral,manufacturing,employed,middle_east,0,70546.0,1,0.91,0
referral,NA,unemployed,africa,0,48225.0,3,0.4,0
social_media,retail,unemployed,south_america,2,0.0,6,0.34,1
paid_ads,retail,self_employed,asia,2,78655.0,4,0.72,0
social_media,other,unemployed,north_america,5,0.0,3,0.34,1
events,finance,employed,south_america,0,49936.0,0,0.2,0
organic_search,manufacturing,student,australia,2,0.0,6,0.42,1
referral,other,self_employed,australia,4,22495.0,4,0.41,1
organic_search,technology,self_employed,africa,2,39103.0,3,0.6,1
paid_ads,healthcare,unemployed,north_america,0,0.0,5,0.86,0
NA,healthcare,self_employed,australia,1,57659.0,7,0.75,1
referral,education,student,europe,0,45569.0,1,0.69,0
social_media,retail,student,australia,2,79978.0,3,0.14,1
events,education,self_employed,north_america,2,0.0,4,0.43,1
social_media,retail,unemployed,australia,0,70725.0,2,0.41,0
organic_search,manufacturing,student,middle_east,4,55420.0,4,0.91,1
events,NA,self_employed,europe,1,51269.0,3,0.17,0
organic_search,technology,employed,north_america,2,57214.0,4,0.23,1
paid_ads,technology,unemployed,middle_east,4,81843.0,1,0.2,0
paid_ads,other,student,europe,2,78348.0,5,0.65,1
paid_ads,retail,unemployed,south_america,1,46393.0,4,0.7,0
social_media,NA,NA,europe,1,64745.0,6,0.82,1
NA,manufacturing,employed,asia,6,59886.0,5,0.82,1
organic_search,finance,employed,north_america,2,57972.0,4,0.08,0
organic_search,finance,unemployed,asia,0,55388.0,3,0.04,0
referral,technology,student,europe,4,45215.0,3,0.6,1
paid_ads,healthcare,unemployed,middle_east,3,0.0,4,0.75,1
social_media,healthcare,student,europe,3,0.0,2,0.57,1
paid_ads,NA,self_employed,south_america,2,28645.0,2,0.52,1
paid_ads,retail,employed,africa,2,65854.0,3,0.81,1
events,technology,employed,africa,2,83619.0,4,0.93,1
organic_search,manufacturing,employed,australia,3,41413.0,1,0.22,1
referral,technology,student,middle_east,2,49346.0,3,0.98,1
paid_ads,finance,employed,middle_east,1,47030.0,4,0.91,1
organic_search,education,unemployed,north_america,1,79448.0,4,0.38,0
events,technology,student,europe,1,45590.0,3,0.97,1
paid_ads,retail,student,NA,0,38173.0,3,0.89,0
paid_ads,education,unemployed,europe,1,78813.0,0,0.39,0
NA,education,NA,north_america,1,26854.0,0,0.55,0
paid_ads,retail,employed,south_america,0,81217.0,3,0.98,0
organic_search,NA,student,asia,1,0.0,5,0.14,1
referral,other,employed,north_america,3,68815.0,3,0.49,1
organic_search,manufacturing,self_employed,australia,1,0.0,0,0.04,0
referral,education,student,asia,2,62165.0,3,0.04,1
events,education,NA,asia,1,62456.0,4,0.95,1
events,other,self_employed,australia,4,16351.0,1,0.33,1
paid_ads,retail,self_employed,australia,3,57705.0,1,0.61,1
organic_search,manufacturing,employed,north_america,3,41422.0,3,0.66,1
NA,technology,student,middle_east,1,69263.0,2,0.32,0
paid_ads,healthcare,self_employed,asia,4,82713.0,5,0.09,1
organic_search,technology,employed,south_america,1,74166.0,2,0.01,0
social_media,NA,student,africa,2,0.0,2,0.89,0
organic_search,other,employed,middle_east,0,77673.0,6,0.16,1
paid_ads,education,employed,south_america,2,52254.0,5,0.49,1
paid_ads,manufacturing,student,middle_east,2,64287.0,3,0.84,1
referral,other,self_employed,south_america,1,51318.0,5,0.38,1
social_media,retail,student,africa,3,76548.0,4,0.9,1
events,retail,employed,asia,1,54954.0,6,0.08,1
paid_ads,healthcare,student,australia,1,75843.0,2,0.41,0
organic_search,education,employed,north_america,1,73132.0,4,0.43,1
events,education,unemployed,south_america,2,53212.0,2,0.83,1
social_media,finance,self_employed,north_america,4,81443.0,4,0.51,1
referral,education,self_employed,africa,3,30134.0,2,0.65,1
organic_search,finance,self_employed,middle_east,0,65016.0,2,0.51,0
social_media,retail,student,NA,5,0.0,0,0.24,1
referral,finance,NA,australia,2,42213.0,2,0.37,0
social_media,retail,self_employed,europe,1,60268.0,2,0.1,0
social_media,healthcare,student,north_america,1,78083.0,5,0.15,1
organic_search,education,employed,middle_east,2,54415.0,4,0.54,1
events,manufacturing,employed,africa,2,67032.0,2,0.48,0
events,manufacturing,self_employed,north_america,3,74162.0,2,0.66,1
organic_search,manufacturing,unemployed,australia,0,47766.0,3,0.15,0
NA,manufacturing,employed,middle_east,0,26079.0,2,0.2,0
referral,healthcare,employed,middle_east,1,45940.0,3,0.34,0
organic_search,retail,student,asia,1,59195.0,0,0.39,0
organic_search,retail,self_employed,middle_east,2,67187.0,4,0.37,1
paid_ads,manufacturing,self_employed,north_america,1,49116.0,1,0.25,0
social_media,retail,employed,asia,1,55228.0,3,0.36,0
events,technology,employed,africa,1,48184.0,1,0.6,1
events,finance,unemployed,australia,2,89571.0,2,0.29,0
events,NA,unemployed,africa,1,46177.0,4,0.57,0
organic_search,other,employed,middle_east,1,72056.0,1,0.83,1
organic_search,technology,unemployed,asia,3,69299.0,4,0.39,0
social_media,healthcare,employed,europe,0,69667.0,3,0.22,0
organic_search,other,employed,asia,4,46974.0,4,0.2,1
paid_ads,education,student,europe,4,44842.0,4,0.31,1
referral,education,employed,south_america,1,55199.0,4,0.09,1
events,finance,self_employed,australia,0,71362.0,2,0.88,0
NA,other,employed,asia,2,63100.0,4,0.17,0
paid_ads,education,employed,africa,0,58050.0,4,0.49,0
referral,NA,self_employed,NA,2,46933.0,6,0.86,1
referral,technology,employed,north_america,2,76723.0,3,0.49,1
events,technology,unemployed,europe,5,73918.0,1,0.77,1
organic_search,healthcare,self_employed,asia,2,32039.0,2,0.05,0
NA,technology,unemployed,australia,0,63128.0,2,0.22,0
paid_ads,retail,student,middle_east,4,79894.0,6,0.92,1
organic_search,retail,employed,middle_east,0,55194.0,4,0.24,0
social_media,technology,student,australia,1,96874.0,1,0.32,0
social_media,manufacturing,self_employed,europe,1,0.0,1,0.65,0
paid_ads,manufacturing,unemployed,africa,2,50518.0,4,0.93,1
events,education,unemployed,europe,2,48746.0,2,0.73,1
referral,healthcare,employed,north_america,4,0.0,2,0.19,1
NA,manufacturing,self_employed,north_america,4,70890.0,3,0.26,1
events,manufacturing,self_employed,south_america,4,75559.0,2,0.72,1
paid_ads,other,unemployed,middle_east,2,64305.0,3,0.87,1
paid_ads,manufacturing,employed,asia,3,68767.0,2,0.59,1
referral,NA,unemployed,middle_east,4,42847.0,3,0.38,1
events,finance,NA,asia,2,53783.0,1,0.1,0
NA,other,student,NA,1,71395.0,5,0.83,1
events,manufacturing,unemployed,middle_east,2,47777.0,1,0.83,0
social_media,other,unemployed,asia,0,65576.0,2,0.45,0
organic_search,education,employed,south_america,0,68182.0,4,0.55,1
organic_search,other,self_employed,australia,1,82602.0,2,0.11,0
social_media,retail,student,south_america,4,50961.0,1,1.0,1
social_media,other,student,middle_east,2,49021.0,3,0.24,0
organic_search,other,unemployed,asia,5,68954.0,2,0.62,1
events,technology,student,asia,2,62011.0,3,0.25,1
paid_ads,NA,employed,middle_east,1,20326.0,3,0.81,1
NA,healthcare,employed,australia,3,74895.0,4,0.4,1
paid_ads,technology,student,south_america,1,102742.0,3,0.05,0
organic_search,healthcare,NA,africa,0,50915.0,1,0.75,0
events,retail,student,australia,2,86827.0,3,0.37,1
referral,retail,NA,north_america,2,62430.0,2,0.01,1
social_media,retail,unemployed,middle_east,0,61956.0,2,0.79,1
organic_search,NA,employed,europe,3,67353.0,3,0.34,1
organic_search,retail,NA,europe,1,63548.0,4,0.81,1
events,education,self_employed,south_america,0,49003.0,5,0.32,0
organic_search,manufacturing,self_employed,africa,3,76073.0,2,0.06,1
NA,technology,employed,south_america,1,0.0,0,0.62,0
referral,finance,self_employed,middle_east,0,0.0,2,0.18,0
social_media,technology,employed,north_america,1,66963.0,0,0.71,0
events,healthcare,unemployed,asia,2,48075.0,4,0.74,1
paid_ads,retail,self_employed,australia,1,67092.0,4,0.98,1
organic_search,finance,employed,NA,2,64390.0,3,0.87,1
social_media,education,NA,asia,1,55504.0,4,0.45,0
organic_search,NA,student,south_america,2,34445.0,7,0.95,1
referral,finance,employed,north_america,2,44974.0,0,0.77,0
referral,manufacturing,employed,africa,1,76106.0,7,0.2,1
organic_search,education,employed,africa,2,64912.0,4,0.55,1
events,NA,unemployed,north_america,2,0.0,1,0.46,0
referral,manufacturing,student,europe,2,43795.0,3,0.29,1
paid_ads,retail,NA,middle_east,2,47018.0,1,0.08,0
events,manufacturing,unemployed,south_america,3,0.0,2,0.96,1
organic_search,finance,NA,south_america,0,73239.0,2,0.99,1
social_media,other,self_employed,north_america,2,35238.0,5,0.41,1
events,healthcare,student,europe,3,74739.0,5,0.43,1
paid_ads,finance,student,asia,1,52114.0,0,0.3,0
referral,manufacturing,self_employed,australia,5,48449.0,1,0.31,1
organic_search,other,unemployed,south_america,3,0.0,1,0.29,0
social_media,finance,employed,africa,3,69474.0,4,0.56,1
events,education,self_employed,australia,2,44137.0,5,0.15,1
organic_search,finance,student,europe,4,0.0,5,0.26,1
events,NA,unemployed,north_america,2,73174.0,5,0.01,1
organic_search,manufacturing,employed,north_america,0,0.0,2,0.1,0
events,education,unemployed,south_america,1,67762.0,3,0.35,0
social_media,manufacturing,unemployed,asia,0,61205.0,2,0.07,0
paid_ads,other,unemployed,asia,2,58553.0,7,0.81,1
NA,healthcare,student,asia,3,0.0,5,0.42,1
social_media,manufacturing,self_employed,middle_east,4,59754.0,3,0.27,1
referral,healthcare,unemployed,africa,3,64948.0,6,0.2,1
NA,education,employed,europe,5,66922.0,5,0.53,1
paid_ads,manufacturing,student,europe,2,50053.0,1,0.71,1
organic_search,manufacturing,unemployed,africa,1,0.0,3,0.91,0
referral,other,unemployed,europe,2,92470.0,4,0.74,1
events,NA,self_employed,europe,6,66108.0,3,0.66,1
referral,retail,employed,australia,1,43078.0,1,0.68,1
paid_ads,finance,self_employed,north_america,5,49383.0,5,0.61,1
paid_ads,technology,employed,north_america,5,69822.0,4,0.71,1
NA,NA,self_employed,africa,2,82556.0,4,0.48,1
events,retail,unemployed,middle_east,2,56398.0,1,0.88,0
organic_search,finance,NA,middle_east,4,82353.0,4,0.93,1
paid_ads,manufacturing,student,north_america,4,52389.0,7,0.64,1
NA,education,self_employed,middle_east,2,66190.0,2,0.75,1
referral,other,unemployed,middle_east,5,50523.0,5,0.64,1
paid_ads,finance,self_employed,europe,2,0.0,2,0.49,0
events,retail,unemployed,australia,2,64960.0,0,0.59,0
organic_search,technology,employed,africa,3,68183.0,8,0.98,1
events,other,student,north_america,1,42898.0,3,0.1,0
NA,finance,unemployed,africa,0,60856.0,3,0.76,1
paid_ads,healthcare,student,europe,2,62907.0,8,0.88,1
events,manufacturing,student,asia,3,55601.0,3,0.94,1
events,manufacturing,student,europe,1,59292.0,1,0.81,0
NA,technology,student,north_america,1,82417.0,4,0.18,0
referral,retail,employed,asia,1,40519.0,6,0.44,1
referral,manufacturing,employed,asia,1,71451.0,3,0.99,1
paid_ads,retail,unemployed,europe,1,61392.0,1,0.78,0
social_media,other,unemployed,asia,1,0.0,0,0.79,0
social_media,NA,self_employed,north_america,0,55258.0,2,0.11,0
social_media,finance,self_employed,australia,2,43899.0,2,0.39,0
events,finance,employed,middle_east,2,83543.0,4,0.22,1
events,retail,student,south_america,2,78769.0,3,0.92,1
social_media,finance,student,asia,2,42123.0,3,0.2,0
paid_ads,retail,self_employed,australia,4,49204.0,3,0.7,1
organic_search,retail,student,north_america,5,0.0,1,0.62,1
organic_search,technology,employed,asia,1,65013.0,2,0.53,0
organic_search,finance,self_employed,africa,1,36971.0,3,0.85,1
referral,finance,unemployed,NA,1,73420.0,3,0.48,1
organic_search,retail,student,africa,1,49154.0,4,0.37,1
organic_search,manufacturing,employed,europe,4,36808.0,4,0.24,1
referral,NA,unemployed,africa,2,35103.0,0,0.88,0
social_media,technology,student,middle_east,0,18319.0,2,0.92,0
referral,education,employed,australia,0,0.0,1,0.71,1
referral,other,student,asia,5,56214.0,1,0.55,1
events,manufacturing,employed,middle_east,1,47145.0,5,0.18,1
NA,NA,student,north_america,5,70902.0,2,0.65,1
organic_search,finance,self_employed,asia,0,68677.0,4,0.67,1
events,technology,student,australia,1,73051.0,3,0.03,1
referral,technology,student,europe,3,45569.0,3,0.57,1
social_media,other,unemployed,south_america,1,69430.0,3,0.22,0
events,education,unemployed,north_america,2,54976.0,1,0.78,0
organic_search,other,student,asia,3,57583.0,5,0.6,1
events,retail,unemployed,australia,5,69305.0,3,0.32,1
social_media,technology,employed,europe,1,68429.0,5,0.28,1
social_media,education,unemployed,africa,3,0.0,2,0.99,1
social_media,education,student,north_america,2,53470.0,3,0.63,1
events,retail,student,middle_east,3,45170.0,3,0.38,1
social_media,manufacturing,student,australia,0,69689.0,0,0.12,0
social_media,healthcare,employed,africa,1,58220.0,4,0.69,1
NA,retail,self_employed,africa,1,65387.0,3,0.37,0
social_media,retail,unemployed,europe,0,47340.0,2,0.98,0
events,education,self_employed,north_america,0,42473.0,4,0.02,0
social_media,education,student,north_america,3,67877.0,3,0.11,0
social_media,finance,student,australia,7,0.0,1,0.73,1
events,finance,NA,south_america,0,48100.0,1,0.48,0
paid_ads,healthcare,unemployed,africa,1,56718.0,2,0.92,0
organic_search,technology,self_employed,europe,2,88795.0,3,0.94,1
events,education,self_employed,asia,2,75793.0,5,0.45,1
referral,finance,student,europe,1,26402.0,1,0.16,0
organic_search,manufacturing,self_employed,asia,2,69458.0,4,0.62,1
events,NA,unemployed,europe,3,0.0,3,0.08,1
events,healthcare,employed,south_america,0,65823.0,3,0.94,0
NA,technology,unemployed,south_america,1,43074.0,1,0.68,0
events,healthcare,self_employed,australia,4,82646.0,3,0.35,1
referral,retail,employed,north_america,1,69518.0,5,0.85,1
organic_search,retail,unemployed,NA,6,62832.0,4,1.0,1
events,healthcare,self_employed,europe,2,99183.0,1,0.19,0
social_media,retail,student,NA,5,38017.0,1,0.09,1
social_media,finance,self_employed,asia,3,67844.0,4,0.6,1
paid_ads,education,employed,australia,2,65742.0,0,0.57,0
social_media,retail,employed,middle_east,2,0.0,3,0.49,1
social_media,manufacturing,student,africa,2,43325.0,4,0.3,1
paid_ads,finance,employed,asia,2,64315.0,2,0.42,0
referral,NA,student,africa,2,63414.0,6,0.75,1
events,technology,unemployed,NA,3,72023.0,3,0.69,1
referral,healthcare,student,middle_east,2,56004.0,0,0.64,0
NA,retail,employed,north_america,0,64927.0,0,0.23,0
events,manufacturing,unemployed,north_america,1,0.0,4,0.6,0
events,retail,self_employed,europe,3,73332.0,4,0.34,1
organic_search,other,self_employed,australia,1,57920.0,0,0.92,1
social_media,manufacturing,employed,africa,2,80275.0,3,0.82,1
organic_search,other,self_employed,europe,3,55633.0,3,0.48,1
paid_ads,education,unemployed,north_america,1,59105.0,2,0.53,0
organic_search,finance,student,north_america,3,92855.0,3,0.41,1
paid_ads,other,unemployed,north_america,1,57665.0,5,0.54,0
social_media,technology,NA,north_america,2,54026.0,1,0.32,0
referral,manufacturing,self_employed,north_america,4,60127.0,7,0.3,1
referral,education,student,middle_east,2,53240.0,4,0.11,1
referral,NA,unemployed,north_america,3,43652.0,1,0.1,1
organic_search,education,self_employed,asia,1,66553.0,7,0.71,1
organic_search,other,employed,australia,1,43907.0,4,0.33,1
organic_search,other,student,middle_east,1,48318.0,2,0.68,1
organic_search,retail,student,asia,1,0.0,4,0.47,1
NA,other,NA,europe,5,67314.0,2,0.87,1
events,education,NA,australia,6,63996.0,4,0.92,1
organic_search,finance,unemployed,north_america,1,73702.0,2,0.55,0
events,technology,student,middle_east,1,93341.0,4,0.99,0
social_media,finance,unemployed,africa,0,0.0,3,0.73,0
